question,answer,source,focus_area
What are the treatments for Itching ?,"Most itching is not serious. To feel better, you could try: • Applying cold compresses • Using moisturizing lotions • Taking lukewarm or oatmeal baths • Using over-the-counter hydrocortisone cream or antihistamines • Avoiding scratching, wearing irritating fabrics, and exposure to high heat and humidity Contact your health care provider if your itching is severe, does not go away after a few weeks, or does not have an apparent cause. You may need other treatments, such as medicines or light therapy. If you have an underlying disease that is causing the itching, treating that disease may help.","MedlinePlus (NLM, public domain)",Itching
What is (are) Shock ?,"Shock happens when not enough blood and oxygen can get to your organs and tissues. It causes very low blood pressure and may be life-threatening. It often happens along with a serious injury. There are several kinds of shock. Hypovolemic shock happens when you lose a lot of blood or fluids. Causes include internal or external bleeding, dehydration, burns, and severe vomiting and/or diarrhea. Septic shock is caused by infections in the bloodstream. A severe allergic reaction can cause anaphylactic shock. An insect bite or sting might cause it. Cardiogenic shock happens when the heart cannot pump blood effectively. This may happen after a heart attack. Neurogenic shock is caused by damage to the nervous system. Symptoms of shock include: • Confusion or lack of alertness • Loss of consciousness • Sudden and ongoing rapid heartbeat • Sweating • Pale skin • A weak pulse • Rapid breathing • Decreased or no urine output • Cool hands and feet Shock is a life-threatening medical emergency and it is important to get help right away. Treatment of shock depends on the cause. NIH: National Heart, Lung, and Blood Institute","MedlinePlus (NLM, public domain)",Shock
What is (are) CPR ?,"When someone's blood flow or breathing stops, seconds count. Permanent brain damage or death can happen quickly. If you know how to perform cardiopulmonary resuscitation (CPR), you could save a life. CPR is an emergency procedure for a person whose heart has stopped (called sudden cardiac arrest) or who is no longer breathing. CPR can maintain the blood flow breathing until emergency medical help arrives. Take these steps if someone is in sudden cardiac arrest: • Call 911. • If someone else is around, have them look for an automated external defibrillator (AED). An AED is a device that sends an electric shock to the heart to try to restore its normal rhythm. AEDs are available in many public places such as schools, businesses, and airports . • Make sure that the person with sudden cardiac arrest is lying on their back on a firm surface. • If you haven't had any CPR training, you can do ""hands-only"" CPR for a teen or adult whose heart has stopped beating (""hands-only"" CPR isn't recommended for children). ""Hands-only"" CPR uses chest compressions to keep blood circulating. Chest compressions involve pushing hard and fast in the center of the chest. • If you've had training, you can use chest compressions, clear the airway, and do rescue breathing. Rescue breathing helps get oxygen to the lungs for a person who has stopped breathing. To keep your skills up, repeat the CPR training every two years. • Use the AED as soon as possible, if there is one available.","MedlinePlus (NLM, public domain)",CPR
What is (are) Drowning ?,"People drown when they get too much water in their lungs. You can drown in as little as an inch or two of water. Babies can drown in a sink or bathtub. Preschoolers are most likely to drown in a swimming pool. People who have seizure disorders are also at risk in the water. Drowning can happen quickly and silently. Drowning precautions should include: • Fences around pools • Supervising children near any body of water, including tubs • Not swimming or boating when under the influence of alcohol or sedatives • Wearing life jackets when boating • Learning CPR","MedlinePlus (NLM, public domain)",Drowning
What is (are) Sudden Cardiac Arrest ?,"Sudden cardiac arrest (SCA) is a condition in which the heart suddenly stops beating. When that happens, blood stops flowing to the brain and other vital organs. If it is not treated, SCA usually causes death within minutes. But quick treatment with a defibrillator may be lifesaving.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What is (are) Sudden Cardiac Arrest ?,"A heart attack is different from an SCA. A heart attack happens when blood flow to the heart is blocked. During a heart attack, the heart usually doesn't suddenly stop beating. With an SCA, the heart stops beating. Sometimes an SCA can happen after or during recovery from a heart attack.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What causes Sudden Cardiac Arrest ?,"Your heart has an electrical system that controls the rate and rhythm of your heartbeat. An SCA can happen when the heart's electrical system is not working right and causes irregular heartbeats. Irregular heartbeats are called arrhythmias. There are different types. They may cause the heart to beat too fast, too slow, or with an irregular rhythm. Some can cause the heart to stop pumping blood to the body; this is the type that causes SCA. Certain diseases and conditions can cause the electrical problems that lead to SCA. They include: • Ventricular fibrillation, a type of arrhythmia where the ventricles (the heart's lower chambers) don't beat normally. Instead, they beat very fast and very irregularly. They can't pump blood to the body. This causes most SCAs. • Coronary artery disease (CAD), also called ischemic heart disease. CAD happens when the arteries of the heart cannot deliver enough oxygen-rich blood to the heart. It is often caused by the buildup of plaque, a waxy substance, inside the lining of larger coronary arteries. The plaque blocks some or all of the blood flow to the heart. • Some types of physical stress can cause your heart's electrical system to fail, such as • Intense physical activity in which your body releases the hormone adrenaline. This hormone can trigger SCA in people who have heart problems. • Very low blood levels of potassium or magnesium. These minerals play an important role in your heart's electrical system. • Major blood loss • Severe lack of oxygen • Certain inherited disorders which can cause arrhythmias or problems with the structure of your heart • Structural changes in the heart, such as an enlarged heart due to high blood pressure or advanced heart disease. Heart infections can also cause changes to the structure of the heart.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
Who is at risk for Sudden Cardiac Arrest? ?,"You are at higher risk for SCA if you: • Have coronary artery disease (CAD). Most people with SCA have CAD. But CAD usually doesn't cause symptoms, so they may not know that they have it. • Are older; your risk increases with age • Are a man; it is more common in men than women • Are Black or African American, especially if you have other conditions such as diabetes, high blood pressure, heart failure, or chronic kidney disease • Have a personal history of heartbeats that aren't regular (arrhythmia) • Have a personal or family history of SCA or inherited disorders that can cause arrhythmia • Have a problem with drug or alcohol use • Have had a heart attack • Have heart failure","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What are the symptoms of Sudden Cardiac Arrest ?,"Usually, the first sign of SCA is loss of consciousness (fainting). This happens when the heart stops beating. Some people may have a racing heartbeat or feel dizzy or light-headed just before they faint. And sometimes people have chest pain, shortness of breath, nausea, or vomiting in the hour before they have an SCA.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
How to diagnose Sudden Cardiac Arrest ?,"SCA happens without warning and requires emergency treatment. Health care providers rarely diagnose SCA with medical tests as it's happening. Instead, it is usually diagnosed after it happens. Providers do this by ruling out other causes of a person's sudden collapse. If you are at high risk for SCA, your provider may refer you to a cardiologist, a doctor who specializes in heart diseases. The cardiologist may ask you to get various heart health tests to see how well you heart is working. He or she will work with you to decide whether you need treatment to prevent SCA.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What are the treatments for Sudden Cardiac Arrest ?,"SCA is an emergency. A person having SCA needs to be treated with a defibrillator right away. A defibrillator is a device sends an electric shock to the heart. The electric shock can restore a normal rhythm to a heart that's stopped beating. To work well, it needs to be done within minutes of the SCA. Most police officers, emergency medical technicians, and other first responders are trained and equipped to use a defibrillator. Call 9-1-1 right away if someone has signs or symptoms of SCA. The sooner you call for help, the sooner lifesaving treatment can begin.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What is (are) Sudden Cardiac Arrest ?,"Many public places such as schools, businesses, and airports have automated external defibrillators (AEDs). AEDs are special defibrillators that untrained people can use if they think that someone has had SCA. AEDS are programmed to give an electric shock if they detect a dangerous arrhythmia. This prevents giving a shock to someone who may have fainted but isn't having SCA. If you see someone who you think has had SCA, you should give cardiopulmonary resuscitation (CPR) until defibrillation can be done. People who are at risk for SCA may want to consider having an AED at home. Ask your cardiologist to help you decide whether having an AED in your home might help you.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What are the treatments for Sudden Cardiac Arrest ?,"If you survive SCA, you'll likely be admitted to a hospital for ongoing care and treatment. In the hospital, your medical team will closely watch your heart. They may give you medicines to try to reduce the risk of another SCA. They will also try to find out what caused your SCA. If you're diagnosed with coronary artery disease, you may have an angioplasty or coronary artery bypass surgery. These procedures help restore blood flow through narrowed or blocked coronary arteries. Often, people who have had SCA get a device called an implantable cardioverter defibrillator (ICD). This small device is surgically placed under the skin in your chest or abdomen. An ICD uses electric pulses or shocks to help control dangerous arrhythmias.","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
How to prevent Sudden Cardiac Arrest ?,"You may be able to lower your risk of SCA by following a heart-healthy lifestyle. If you have coronary artery disease or another heart disease, treating that disease can also lower your risk of SCA. If you have had an SCA, getting an implantable cardioverter defibrillator (ICD) can lower your chance of having another SCA. NIH: National Heart, Lung, and Blood Institute","MedlinePlus (NLM, public domain)",Sudden Cardiac Arrest
What is (are) MRI Scans ?,"Magnetic resonance imaging (MRI) is an imaging test that is usually painless and uses magnets, radio waves, and a computer to create detailed pictures of the inside of your body. MRI scans show organs and soft tissues clearly and can help tell healthy from unhealthy tissue in many cases.","MedlinePlus (NLM, public domain)",MRI Scans
What is (are) MRI Scans ?,"MRI scans are often used to diagnose conditions that affect soft tissues and to monitor treatment. MRI may be used to look at: • The brain, spinal cord, and nerves • Muscles, ligaments, and tendons • Joints, such as the knee or shoulder MRI does not use x-rays or other radiation. Because of this, it may be used when repeat imaging is needed.","MedlinePlus (NLM, public domain)",MRI Scans
What is (are) MRI Scans ?,"MRI machines use powerful magnets. Metal objects or implants can interfere with the scan and may be unsafe. Before your MRI, you will need to remove items such as: • Jewelry and watches • Hairpins • Hearing aids Before your MRI, tell your health care provider if you: • Are pregnant • Are breastfeeding, especially if you may receive contrast material (a substance that helps some parts of your body show up more clearly on the images) • Feel anxious in enclosed spaces (claustrophobic) • Have kidney problems • Have metal in your body, such as bullets, shrapnel, or other metal fragments • Have metal or electronic devices in your body, such as a pacemaker, artificial joint, or other implants • Have tattoos or permanent makeup, since some darker inks may contain metal","MedlinePlus (NLM, public domain)",MRI Scans
What is (are) MRI Scans ?,"You will usually change into a hospital gown. Sometimes before the test, you may receive contrast, which is usually given through a vein (intravenously or IV). During the scan, you lie on a table that slides inside a large, tunnel-like machine. Some facilities use an open MRI machine, which is less enclosed. The machine makes loud noises as it takes pictures. You may be given earplugs or headphones. The scan can take some time, depending on the part of your body being examined. You will need to stay very still during the scan.","MedlinePlus (NLM, public domain)",MRI Scans
What is (are) MRI Scans ?,"After most MRI scans, you can return to normal activities right away. If you were given medicine to help you relax, someone will need to take you home. A specialist called a radiologist reviews the images and shares them with your provider.","MedlinePlus (NLM, public domain)",MRI Scans
What is (are) Brain Tumors ?,"A brain tumor is a growth of abnormal cells in the tissues of the brain. Brain tumors can be benign, with no cancer cells, or malignant, with cancer cells that grow quickly. Some are primary brain tumors, which start in the brain. Others are metastatic, and they start somewhere else in the body and move to the brain. Brain tumors can cause many symptoms. Some of the most common are: • Headaches, often in the morning • Nausea and vomiting • Changes in your ability to talk, hear, or see • Problems with balance or walking • Problems with thinking or memory • Feeling weak or sleepy • Changes in your mood or behavior • Seizures Doctors diagnose brain tumors by doing a neurologic exam and tests including an MRI, CT scan, and biopsy. Treatment options include watchful waiting, surgery, radiation therapy, chemotherapy, and targeted therapy. Targeted therapy uses drugs or other substances that attack cancer cells with less harm to normal cells. Many people get a combination of treatments. NIH: National Cancer Institute","MedlinePlus (NLM, public domain)",Brain Tumors
What is (are) Prostate Cancer ?,"Cancer is a disease in which cells in the body grow out of control. Prostate cancer begins in the cells of the prostate. The prostate is a gland in the male reproductive system. It lies just below the bladder. It makes fluid that is part of semen. Prostate cancer is one of the most common types of cancer. It often grows very slowly. If it does not spread to other parts of the body, it may not cause serious problems. But sometimes prostate cancer can grow quickly and spread to other parts of the body. This kind of prostate cancer is serious.","MedlinePlus (NLM, public domain)",Prostate Cancer
What causes Prostate Cancer ?,"Researchers don't know for sure what causes prostate cancer. They do know that it happens when there are changes in the genetic material (DNA). Sometimes these genetic changes are inherited, meaning that you are born with them. There are also certain genetic changes that happen during your lifetime that can raise your risk of prostate cancer. But often the exact cause of these genetic changes is unknown.","MedlinePlus (NLM, public domain)",Prostate Cancer
What is (are) Prostate Cancer ?,"Anyone who has a prostate can develop prostate cancer. But certain factors can make you more likely to develop it: • Age. Your chance of developing prostate cancer increases as you get older. Prostate cancer is rare in people under age 50. • Family health history. Your risk of prostate cancer is higher if you have a parent, sibling, or child who has or has had prostate cancer. • Race. African Americans are more likely to get prostate cancer. They're also more likely to: • Get prostate cancer at a younger age. • Have more serious prostate cancer. • Die from prostate cancer.","MedlinePlus (NLM, public domain)",Prostate Cancer
What are the symptoms of Prostate Cancer ?,"Prostate cancer doesn't always cause symptoms, especially at first. If it does cause symptoms, they may include: • Problems urinating (peeing), such as: • A urine stream that's weak, hard to start, or starts and stops • Suddenly needing to urinate right away • Urinating often, especially at night • Pain or burning when urinating • Blood in your urine or semen • Pain in your lower back, hips, or pelvis that does not go away • Painful ejaculation (the release of semen through the penis during orgasm) But many of these symptoms may be from other common prostate problems that aren't cancer, such as an enlarged prostate. You should discuss your prostate health with your health care provider if you: • Have symptoms that could be prostate cancer • Have a high risk for developing prostate cancer • Had a screening test that suggests you could have prostate cancer","MedlinePlus (NLM, public domain)",Prostate Cancer
How to diagnose Prostate Cancer ?,"Tests which check for prostate cancer include: • A digital rectal exam (DRE). In this exam, your provider feels your prostate for lumps or anything unusual by inserting a lubricated, gloved finger into your rectum. • A prostate-specific antigen (PSA) blood test. A high PSA blood level may be a sign of prostate cancer. But many other things can cause high PSA levels, too. • Imaging tests. These tests may use ultrasound or MRI to make pictures of your prostate. If these tests show that you might have prostate cancer, the next step is usually a prostate biopsy. A biopsy is the only way to diagnose prostate cancer. During a biopsy, a doctor uses a hollow needle to remove some prostate tissue. The tissue is studied under a microscope to look for cancer cells.","MedlinePlus (NLM, public domain)",Prostate Cancer
What are the treatments for Prostate Cancer ?,"Your treatment options usually depend on your age, your general health, and how serious the cancer is. Your treatment may include one or more options: • Observation,which is mostly used if you are older, your prostate cancer isn't likely to grow quickly, and you don't have symptoms or you have other medical conditions. Your doctor will keep checking on your cancer over time so to see whether you will need to start treatment for the cancer. There are two types of observation: • Watchful waiting means having little or no testing. If symptoms begin or change, you will get treatment to relieve them, but not to treat the cancer. • Active surveillance means having regular tests to see if your prostate cancer has changed. If the tests show the cancer is starting to grow or if you develop symptoms, then you will have treatment to try to cure the cancer. • Surgery to remove your prostate gland may be an option if your cancer hasn't spread outside of your prostate. • Radiation therapy uses high energy to kill cancer cells or prevent them from growing. • Hormone therapy blocks cancer cells from getting the hormones they need to grow. It may include taking medicines or having surgery to remove the testicles. • Chemotherapy uses medicines to kill cancer cells, slow their growth, or stop them from spreading. You might take the drugs by mouth, as an injection (shot), as a cream, or intravenously (by IV). • Targeted therapy uses drugs or other substances that attack specific cancer cells. This treatment causes less harm to healthy cells than radiation therapy or chemotherapy. • Immunotherapy helps your own immune system to fight cancer.","MedlinePlus (NLM, public domain)",Prostate Cancer
How to prevent Prostate Cancer ?,Making healthy lifestyle changes may help to prevent some prostate cancers. These changes include: • Being at a healthy weight • Quitting smoking • Getting enough exercise • Eating healthy foods NIH: National Cancer Institute,"MedlinePlus (NLM, public domain)",Prostate Cancer
What is (are) Acoustic Neuroma ?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include: • Loss of hearing on one side • Ringing in ears • Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","MedlinePlus (NLM, public domain)",Acoustic Neuroma
What is (are) Brain Malformations ?,"Most brain malformations begin long before a baby is born. Something damages the developing nervous system or causes it to develop abnormally. Sometimes it's a genetic problem. In other cases, exposure to certain medicines, infections, or radiation during pregnancy interferes with brain development. Parts of the brain may be missing, abnormally small or large, or not fully developed. Treatment depends upon the problem. In many cases, treatment only helps with symptoms. It may include antiseizure medicines, shunts to drain fluid from the brain, and physical therapy. There are head malformations that do not involve the brain. Craniofacial disorders are the result of abnormal growth of soft tissue and bones in the face and head. It's common for new babies to have slightly uneven heads, but parents should watch the shape of their baby's head for possible problems. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Brain Malformations
What is (are) CT Scans ?,"Computed tomography (CT) is a type of medical imaging test that uses special x-ray equipment to make detailed pictures of the inside of your body. A CT scan produces cross-sectional pictures, which are like slices of the body. These images show the size and structure of organs, bones, and other tissues. CT images can also be combined to create 3-dimensional (3D) views. Health care providers use CT scans to diagnose, treat, and monitor many health conditions.","MedlinePlus (NLM, public domain)",CT Scans
What is (are) CT Scans ?,"Your provider may suggest a CT scan for many reasons, including: • Fractures (broken bones) • Cancer • Tumors or masses • Blood clots • Signs of heart disease • Spinal conditions • Lung disease CT scans may also be used to find the best place to perform a biopsy or help guide certain treatments. They may also be used to check for internal bleeding or injury after trauma or to evaluate the brain for certain conditions.","MedlinePlus (NLM, public domain)",CT Scans
What is (are) CT Scans ?,"You may be asked not to eat or drink for a few hours before the scan. Ask your provider if there are any special instructions to follow. For some CT scans, you may receive a contrast material. Contrast helps certain parts of the body show up more clearly on the images. Depending on what area is being examined, contrast material might be given as: • A liquid to swallow • A shot (injection) • An enema (placed into the rectum) CT scans use ionizing radiation at levels higher than a standard x-ray, but the amount is kept as low as possible. Always tell your provider if you are pregnant or think you may be pregnant.","MedlinePlus (NLM, public domain)",CT Scans
What is (are) CT Scans ?,"You may be asked to change clothes and remove jewelry or other items that could interfere with the scan. During the scan, you lie still on a table. The table slowly passes through the center of a large donut-shaped machine. The x-ray tube rotates around your body to create images. You may hear whirring sounds during the scan. You may be asked to hold your breath for short periods. The test is painless. The scan usually takes a few minutes, but some may last up to 30 minutes, depending on the area being scanned.","MedlinePlus (NLM, public domain)",CT Scans
What is (are) CT Scans ?,"Most people can return to normal activities right away. If you were given a contrast material, drinking fluids can help your body clear it. A specialist called a radiologist reviews the images and shares the results with your provider. NIH: National Cancer Institute","MedlinePlus (NLM, public domain)",CT Scans
What is (are) Encephalitis ?,"Encephalitis is inflammation (swelling) of the brain. It can happen when an infection or medical condition that affects the brain activates your immune system. The inflammation can cause a wide range of symptoms. In extreme cases, it can lead to brain damage, stroke, or even death.","MedlinePlus (NLM, public domain)",Encephalitis
What causes Encephalitis ?,"There are different types of encephalitis, based on what the cause is. The two main types are infectious encephalitis and autoimmune encephalitis. Infectious encephalitis is usually caused by a virus. In fact, viruses are the most common cause of encephalitis. Some of the different viruses that cause it include: • Herpes viruses, including herpes simplex (HSV), the Epstein-Barr virus (which causes infectious mononucleosis) and the varicella-zoster virus (which causes chickenpox). • Viruses you can get if you are bitten by an infected tick, such as tick-borne encephalitis (TBE virus) and Powassan virus. • Viruses you can get if you are bitten by an infected mosquito, such as eastern equine encephalitis virus, West Nile virus, and La Crosse virus. • Enteroviruses, which are a common group of viruses that mostly cause mild illness or respiratory infection. These infections usually happen in the summer and fall. Bacteria, fungi, and parasites can also cause infectious encephalitis. But this is not common. Autoimmune encephalitis happens when your immune system mistakenly attacks healthy brain cells. It can be triggered by conditions such as certain cancers, benign tumors, and infections. Sometimes the cause is not known.","MedlinePlus (NLM, public domain)",Encephalitis
What is (are) Encephalitis ?,"Anyone can get encephalitis, but you are more likely to get it if you: • Have a weakened immune system, for example from having HIV or taking certain medicines. These could include medicines taken after an organ transplant, certain chemotherapy medicines, and specialized treatments for certain autoimmune diseases. • Are a young child or older adult. • Live in areas where there are ticks and mosquitoes that carry viruses that can cause encephalitis.","MedlinePlus (NLM, public domain)",Encephalitis
What are the symptoms of Encephalitis ?,"The symptoms of encephalitis can vary a lot, depending on how severe it is. Many people do not have any symptoms. Others may have mild flu-like symptoms such as fever, fatigue, headache, or body aches. If encephalitis becomes more serious, it can cause: • Severe headache • Stiff neck • Vomiting • Seizures • Behavior changes • Drowsiness • Muscle weakness • Partial paralysis in your arms and legs • Coma Encephalitis can be dangerous in infants. Their symptoms may include: • Fever • Lethargy (weakness or drowsiness) • Poor feeding • Vomiting • Body stiffness • Unusual irritability or crying • A full or bulging fontanel (the soft spot on the top of the head) If you or your child is having symptoms of encephalitis, it's important to get medical care right away.","MedlinePlus (NLM, public domain)",Encephalitis
How to diagnose Encephalitis ?,"To find out if you have encephalitis, your health care provider: • Will do a physical exam • Will take your medical history, which includes asking about your symptoms • May do a neurologic exam • May order imaging tests, such as a brain CT scan or MRI • May order an EEG (electroencephalography), which use small electric sensors to measure your brain activity • May order blood and cerebrospinal fluid (CSF) tests","MedlinePlus (NLM, public domain)",Encephalitis
What are the treatments for Encephalitis ?,"Most people with encephalitis will need treatment in the hospital. Depending on the cause, treatments may include antiviral medicines, antibiotics, corticosteroids, and other medicines. For some types of encephalitis, there is no medicine to treat it. But rest, nutrition, and fluids can help your body fight the infection and relieve symptoms. Some people may need physical, speech, and occupational therapy once the illness is under control.","MedlinePlus (NLM, public domain)",Encephalitis
How to prevent Encephalitis ?,"There are steps you can take to help prevent encephalitis that is caused by infections: • Use good hygiene, including washing your hands often with soap and water. • Don't share food, drinks, utensils, and glasses with other people. • Get vaccines for viruses that can cause encephalitis. • Avoid mosquito and tick bites, for example by: • Wearing insect repellent with DEET or another U.S. Environmental Protection Agency (EPA)-registered insect repellent. Make sure to follow the instructions for using the repellant. • Wearing clothes that cover your arms, legs and feet. • Treating your clothing and gear with products containing 0.5% permethrin before you go in grassy or woody areas. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Encephalitis
What is (are) Herniated Disk ?,"Your backbone, or spine, is made up of 26 bones called vertebrae. In between them are soft disks filled with a jelly-like substance. These disks cushion the vertebrae and keep them in place. As you age, the disks break down or degenerate. As they do, they lose their cushioning ability. This can lead to pain if the back is stressed. A herniated disk is a disk that ruptures. This allows the jelly-like center of the disk to leak, irritating the nearby nerves. This can cause sciatica or back pain. Your doctor will diagnose a herniated disk with a physical exam and, sometimes, imaging tests. With treatment, most people recover. Treatments include rest, pain and anti-inflammatory medicines, physical therapy, and sometimes surgery. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","MedlinePlus (NLM, public domain)",Herniated Disk
What is (are) Prenatal Testing ?,"Prenatal testing provides information about the health of your fetus before the baby is born. Some routine tests during pregnancy also check your health. The prenatal test may use a sample of your blood, urine or fluid from your vagina, cervix, or rectum. Since some health conditions can be treated before your baby is born, it's important to find them early. But even if they cannot be treated, it can still be helpful to know about the problem early on. This gives you time to learn about the condition and prepare for any challenges you may face after the baby is born.","MedlinePlus (NLM, public domain)",Prenatal Testing
How to diagnose Prenatal Testing ?,"At your first prenatal visit, your health care provider will test for various conditions, including problems with your blood, signs of infections, and whether you are immune to rubella (German measles) and chickenpox. Throughout your pregnancy, your provider may recommend additional tests as well. Some tests are suggested for all women, such as screenings for gestational diabetes, Down syndrome, and HIV. Your provider might offer other tests based on your: • Age • Personal or family medical history • Ethnic background • Results of routine tests","MedlinePlus (NLM, public domain)",Prenatal Testing
What is (are) Prenatal Testing ?,"There are two types of tests: • Screening tests check if you or your fetus may have certain health issues. They look at risk but do not diagnose problems. If your screening test result is abnormal, it does not mean that there is a problem. It means that more information is needed. Your provider can explain what the test results mean and possible next steps. You may need diagnostic testing. • Diagnostic tests help determine whether you or your fetus have a certain health problem. It is your choice whether to get prenatal tests. You and your provider can talk about the risks and benefits of the tests, as well as the type of information they can give you. Then you can decide which ones are right for you. National Women's Health Information Center","MedlinePlus (NLM, public domain)",Prenatal Testing
What is (are) Abdominal Pain ?,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if: • You have abdominal pain that is sudden and sharp • You also have pain in your chest, neck or shoulder • You're vomiting blood or have blood in your stool • Your abdomen is stiff, hard and tender to touch • You can't move your bowels, especially if you're also vomiting","MedlinePlus (NLM, public domain)",Abdominal Pain
What is (are) Appendicitis ?,"The appendix is a small, tube-like organ attached to the first part of the large intestine. It is located in the lower right part of the abdomen. It has no known function. A blockage inside of the appendix causes appendicitis. The blockage leads to increased pressure, problems with blood flow, and inflammation. If the blockage is not treated, the appendix can burst and spread infection into the abdomen. This causes a condition called peritonitis. The main symptom is pain in the abdomen, often on the right side. It is usually sudden and gets worse over time. Other symptoms may include: • Swelling in the abdomen • Loss of appetite • Nausea and vomiting • Constipation or diarrhea • Inability to pass gas • Low fever Not everyone with appendicitis has all these symptoms. Appendicitis is a medical emergency. Treatment almost always involves removing the appendix. Anyone can get appendicitis, but it is more common among people 10 to 30 years old. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Appendicitis
What is (are) Bladder Diseases ?,"The bladder is a hollow organ in your lower abdomen that stores urine. Many conditions can affect your bladder. Some common ones are: • Cystitis - inflammation of the bladder, often from an infection • Urinary incontinence - loss of bladder control • Overactive bladder - a condition in which the bladder squeezes urine out at the wrong time • Interstitial cystitis - a chronic problem that causes bladder pain and frequent, urgent urination • Bladder cancer Doctors diagnose bladder diseases using different tests. These include urine tests, x-rays, and an examination of the bladder wall with a scope called a cystoscope. Treatment depends on the cause of the problem. It may include medicines and, in severe cases, surgery. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Bladder Diseases
What is (are) Breast Diseases ?,"Breast diseases include various conditions and changes in your breast. Most women experience breast changes at some time. Your age, hormone levels, and medicines you take may cause lumps, bumps, and discharges of fluids that are not breast milk. Although many women fear cancer, most breast changes are benign, meaning they are not cancer. These breast changes are known as benign breast disease. See your health care provider if you have a breast lump, pain, discharge, or skin irritation. Minor and serious breast problems often have similar symptoms and may need treatment. Common breast changes and conditions can include: • Fibrocystic breast changes can include lumpiness, thickening, and swelling, often just before your period. Your breasts may feel painful, swollen, or tender. • Cysts are fluid-filled lumps that may be tender. • Fibroadenomas are solid, round, rubbery lumps that easily move when pushed, occurring most in younger women. • Intraductal papillomas are wart-like benign tumors that grow in the milk duct of the breast. • Blocked milk ducts. • Milk production when you're not breastfeeding.","MedlinePlus (NLM, public domain)",Breast Diseases
What are the symptoms of Breast Diseases ?,"Symptoms depend on the type of breast disease. Benign breast diseases may not have any symptoms, or they could include: • A lump or firm feeling in your breast or under your arm • A change in the size or shape of your breast • Nipple discharge • Skin changes such as itching, redness or darkening, dimples, scaling, or puckering on your breast or nipple • Painful, swollen, or tender breasts See your provider if you're noticing any of these symptoms or other unusual changes. Some symptoms may be warning signs or symptoms of breast cancer.","MedlinePlus (NLM, public domain)",Breast Diseases
How to diagnose Breast Diseases ?,"Some breast changes may be felt or seen. You may notice a change in your breast, or your provider may notice it during a clinical breast exam. Other breast changes may only be found during a screening mammogram or other imaging tests such as an MRI or ultrasound. Your provider may also recommend a breast biopsy to check a suspicious change in your breast.","MedlinePlus (NLM, public domain)",Breast Diseases
What are the treatments for Breast Diseases ?,"Some benign breast changes may increase your risk of breast cancer in the future and may need treatment now. Treatment depends on the type of breast disease that you have. Some breast changes may go away without treatment, while others may require monitoring, biopsy, or surgery. NIH: National Cancer Institute","MedlinePlus (NLM, public domain)",Breast Diseases
What is (are) Pelvic Pain ?,"Pelvic pain occurs mostly in the lower abdomen area. The pain might be steady, or it might come and go. It can be a sharp and stabbing pain in a specific spot, or a dull pain that is spread out. If the pain is severe, it might get in the way of your daily activities. If you're a woman, you might feel pain during your period. It could also happen when you have sex. Pelvic pain can be a sign that there is a problem with one of the organs in your pelvic area, such as the uterus, ovaries, fallopian tubes, cervix, or vagina. If you're a man, the cause could be a problem with the prostate. In men and women, it could be a symptom of infection, or a problem with the urinary tract, lower intestines, rectum, muscle, or bone. Some women have more than one cause of pelvic pain at the same time. You might have to have lab, imaging, or other medical tests to find the cause of the pain. The treatment will depend on the cause, how bad the pain is, and how often it occurs. NIH: National Institute of Child Health and Human Development","MedlinePlus (NLM, public domain)",Pelvic Pain
